"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"	"logRT"	"logRT.winz"	"RT.winz"	"ParRace"	"ParGender"
2	192	"C:\Hannah's FYP\Black19_neu.jpg"	"sewage"	"Black"	"nose"	"Neg"	131	1073	1	0	4	"Con"	6.9782137426307	6.9782137426307	1073	NA	NA
2	1	"C:\Hannah's FYP\Black15_neu.jpg"	"despair"	"Black"	"eyes"	"Neg"	121	936	1	0	6	"Con"	6.84161547647759	6.74046797826196	865.14757193714	NA	NA
2	2	"C:\Hannah's FYP\Black21_neu.jpg"	"disgust"	"Black"	"nose"	"Neg"	131	455	1	0	6	"Con"	6.12029741895095	6.12029741895095	455	NA	NA
2	3	"C:\Hannah's FYP\White8_neu.jpg"	"beauty"	"White"	"forehead"	"Pos"	212	550	2	0	6	"Con"	6.30991827822652	6.30991827822652	550	NA	NA
2	4	"C:\Hannah's FYP\White15_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	553	2	0	6	"Con"	6.31535800152233	6.31535800152233	553	NA	NA
2	5	"C:\Hannah's FYP\White11_neu.jpg"	"disgust"	"White"	"eyes"	"Neg"	221	571	1	0	6	"Incon"	6.34738920965601	6.34738920965601	571	NA	NA
2	6	"C:\Hannah's FYP\Black18_neu.jpg"	"pest"	"Black"	"nose"	"Neg"	131	581	1	0	6	"Con"	6.36475075685191	6.36475075685191	581	NA	NA
2	7	"C:\Hannah's FYP\Black3_neu.jpg"	"beauty"	"Black"	"forehead"	"Pos"	112	637	2	0	6	"Incon"	6.45676965557216	6.45676965557216	637	NA	NA
2	8	"C:\Hannah's FYP\White16_neu.jpg"	"beauty"	"White"	"eyes"	"Pos"	222	452	2	0	6	"Con"	6.11368217983223	6.11368217983223	452	NA	NA
2	9	"C:\Hannah's FYP\White12_neu.jpg"	"vacation"	"White"	"eyes"	"Pos"	222	579	2	0	6	"Con"	6.361302477573	6.361302477573	579	NA	NA
2	10	"C:\Hannah's FYP\White1_neu.jpg"	"paradise"	"White"	"forehead"	"Pos"	212	573	2	0	6	"Con"	6.35088571671474	6.35088571671474	573	NA	NA
2	11	"C:\Hannah's FYP\Black10_neu.jpg"	"vomit"	"Black"	"eyes"	"Neg"	121	519	1	0	6	"Con"	6.25190388316589	6.25190388316589	519	NA	NA
2	12	"C:\Hannah's FYP\White10_neu.jpg"	"paradise"	"White"	"eyes"	"Pos"	222	475	2	0	6	"Con"	6.16331480403464	6.16331480403464	475	NA	NA
2	13	"C:\Hannah's FYP\White9_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	489	2	0	6	"Con"	6.19236248947487	6.19236248947487	489	NA	NA
